отдел Polypodiophyta;класс Polypodiopsida;1;Onocleaceae; ; ; ; ; ; ; ; ; ; ; ; ;
;;1;Athyriaceae;Athyrium;Athyrium filix-femina L. Roth.;Кочедыжник женский;;03.07.1961;Бурятия;Советский ; с. Ошурково;Еловый лес;Дугарова ;Рещиков М.А.;;
;;1;Woodsiaceae;Cystopteris;Cystopteris fragilis (L.)Bernh.;Пузырник ломкий;Cystopteris almaatensis Kotukhov| Cystopteris emarginato-denticul Fomin| Cystopteris filix-fragilis (L.) Borbas| Cystopteris fragilis ssp. emarginato-denticula (Fomin) Fomin| Cystopteris thermalis A.P. Khokhr.;02.08.2004;Республика Тыва;; Алашское нагорье| долина р. Алаш. Ур. Хадынцыг-Кара-Суг;В расщелинах скал;Самдан А.М. ;Самдан А.М.;;
;;;;;Cystopteris fragilis (L.)Bernh.;Пузырник ломкий;Cystopteris almaatensis Kotukhov| Cystopteris emarginato-denticul Fomin| Cystopteris filix-fragilis (L.) Borbas| Cystopteris fragilis ssp. emarginato-denticula (Fomin) Fomin| Cystopteris thermalis A.P. Khokhr.;15.07.2005;Республика Тыва;; Алашское нагорье| долина р. Алаш. Ур. Кодурер-Даш;Опушка леса| обочина дороги;Самдан А.М. ;Самдан А.М.;;
;;;;;Cystopteris fragilis (L.)Bernh.;Пузырник ломкий;Cystopteris almaatensis Kotukhov| Cystopteris emarginato-denticul Fomin| Cystopteris filix-fragilis (L.) Borbas| Cystopteris fragilis ssp. emarginato-denticula (Fomin) Fomin| Cystopteris thermalis A.P. Khokhr.;30.06.2005;Бурятия;Тарбагатайский;местность Жарчиха| окр. геологической базы. Ущелье в 1000 м к юго-западу от лагеря;;Иметхенова О.В.| Холбоева С.А.;Чимитов Д.Г.;;
;;;;Gymnocarpium ;Gymnocarpium jessoense (Koidz.) Koidz.;Голокучник йезский;Dryopteris jessoensis Koidz.| Aspidium dryopteris var. longulum H. Christ| Gymnocarpium longulum (H. Christ) Kitag.| Gymnocarpium remote-pinnatum auct.| Gymnocarpium robertianum ssp. longulum (H. Christ) Toyok;08.07.2003;Бурятия;Баунтовский;правый берег р. Амалат;Курумник| западный склон| 45 град уклона;Иметхенова О.В.;Иметхенова О.В.;;
;;;;;Gymnocarpium jessoense (Koidz.) Koidz.;Голокучник йезский;Dryopteris jessoensis Koidz.| Aspidium dryopteris var. longulum H. Christ| Gymnocarpium longulum (H. Christ) Kitag.| Gymnocarpium remote-pinnatum auct.| Gymnocarpium robertianum ssp. longulum (H. Christ) Toyok;08.07.2003;Бурятия;Баунтовский;правый берег р. Амалат;Курумник| западный склон| 45град уклона;Иметхенова О.В.;Иметхенова О.В.;;
;;;;;Gymnocarpium jessoense (Koidz.) Koidz.;Голокучник йезский;Dryopteris jessoensis Koidz.| Aspidium dryopteris var. longulum H. Christ| Gymnocarpium longulum (H. Christ) Kitag.| Gymnocarpium remote-pinnatum auct.| Gymnocarpium robertianum ssp. longulum (H. Christ) Toyok;01.07.2005;Бурятия;Тарбагатайский;местность Жарчиха| окр. геологической базы. Вершина горы к северу от лагеря;На сиенитовом останце;Иметхенова О.В.| Чимитов Д.Г.;Иметхенова О.В.| Чимитов Д.Г.;;
;;;;;Gymnocarpium dryopteris (L.) Newman;Голокучник трехраздельный;Dryopteris disjuncta (Rupr.) C.V. Morton| Dryopteris linneana C. Chr.| Dryopteris pumila V.I. Krecz.| Carpogymnia disjuncta (Rupr.) A. Love & D. Love| Carpogymnia dryopteris (L.) A. Love & D. Love| Currania dryopteris (L.) Wherry;01.09.2005;Бурятия;Заиграевский ; Местность Хара-Байса.;Среди крупноглыбистых останцов;Иметхенова О.В.| Чимитов Д.Г.;Иметхенова О.В.| Чимитов Д.Г.;;
;;;;;Gymnocarpium dryopteris (L.) Newman;Голокучник трехраздельный;Dryopteris disjuncta (Rupr.) C.V. Morton| Dryopteris linneana C. Chr.| Dryopteris pumila V.I. Krecz.| Carpogymnia disjuncta (Rupr.) A. Love & D. Love| Carpogymnia dryopteris (L.) A. Love & D. Love| Currania dryopteris (L.) Wherry;22.08.2004;Бурятия;Мухоршибирский;Местность Намарзан;Смешанный лес;Чимитов Д.Г.;Чимитов Д.Г.;;
;;;;;Gymnocarpium dryopteris (L.) Newman;Голокучник трехраздельный;Dryopteris disjuncta (Rupr.) C.V. Morton| Dryopteris linneana C. Chr.| Dryopteris pumila V.I. Krecz.| Carpogymnia disjuncta (Rupr.) A. Love & D. Love| Carpogymnia dryopteris (L.) A. Love & D. Love| Currania dryopteris (L.) Wherry;22.08.2004;Бурятия;Мухоршибирский; местность Намарзан;Смешанный лес;Чимитов Д.Г.;Чимитов Д.Г.;;
;;;;Diplazium;Diplazium sibiricum (Turcz.ex.G.Kunze) Sa Kurata;Диплазиум сибирский;Asplenium sibiricum Turcz. ex Kunze| Allantodia crenata (Sommerf.) Ching| Athyrium crenatum (Sommerf.) Rupr.| Diplazium sibiricum (Turcz. ex Kunze) Jermy| comb. superfl.| Diplazium sommerfeldii A. Love & D. Love;01.09.2005;Бурятия;Заиграевский; Местность Хара-Байса.;Среди крупноглыбистых останцов;Иметхенова О.В.| Чимитов Д.Г.;Иметхенова О.В.| Чимитов Д.Г.;;
;;;;Woodsia;Woodsia ilvensis (L.)R.Br.;Вудсия эльбская;Acrostichum ilvense L.| Woodsia acuminata (Fomin) Sipliv.| Woodsia ilvensis var. acuminata Fomin| Woodsia uralensis Gand.;22.07.1965;Бурятия;Баргузинский;  Окр. Пади Сухая-2.;На скальных обнажениях южных остепненных  склонов затененных расщелин;Рещиков М.А.;Рещиков М.А.;;
;;;;;Woodsia ilvensis (L.)R.Br.;Вудсия эльбская;Acrostichum ilvense L.| Woodsia acuminata (Fomin) Sipliv.| Woodsia ilvensis var. acuminata Fomin| Woodsia uralensis Gand.;22.06.2005;Бурятия;Тарбагатайский; Местность Тугнуйские столбы (Шара-Тэбсэг);На останцах;Иметхенова О.В.| Чимитов Д.Г.;Иметхенова О.В.| Чимитов Д.Г.;;
;;;;;Woodsia ilvensis (L.)R.Br.;Вудсия эльбская;Acrostichum ilvense L.| Woodsia acuminata (Fomin) Sipliv.| Woodsia ilvensis var. acuminata Fomin| Woodsia uralensis Gand.;29.06.2005;Бурятия;Тарбагатайский;Местность Жарчиха. Окр. геологической базы. Северный склон горы в 500м на восток от лагеря;Расщелины останца;Иметхенова О.В.| Чимитов Д.Г.;Иметхенова О.В.| Чимитов Д.Г.;;
;;;;;Woodsia ilvensis (L.)R.Br.;Вудсия эльбская;Acrostichum ilvense L.| Woodsia acuminata (Fomin) Sipliv.| Woodsia ilvensis var. acuminata Fomin| Woodsia uralensis Gand.;23.06.2005;Бурятия;Тарбагатайский;местность Тугнуйские столбы;На останцах;Иметхенова О.В.;Чимитов Д.Г.;;
;;;;;Woodsia ilvensis (L.)R.Br.;Вудсия эльбская;Acrostichum ilvense L.| Woodsia acuminata (Fomin) Sipliv.| Woodsia ilvensis var. acuminata Fomin| Woodsia uralensis Gand.;23.06.2005;Бурятия;Тарбагатайский;местность Тугнуйские столбы;На останцах;Иметхенова О.В.;Чимитов Д.Г.;;
;;;;;Woodsia ilvensis (L.)R.Br.;Вудсия эльбская;Acrostichum ilvense L.| Woodsia acuminata (Fomin) Sipliv.| Woodsia ilvensis var. acuminata Fomin| Woodsia uralensis Gand.;11.07.2010;Бурятия;Окинский;местность Бэлэг-Шэбэй;Каменистая степь ;Цыбденова Р.;Холбоева С.А.;;23.09.11
;;1;Aspidiaceae(Dryopteridaceae);Dryopteris;Dryopteris fragrans (L.) Schott;Шитовник пахучий;Aspidium fragrans Sw.| Dryopteris fragrans var. remotiuscula (Kom.) Fomin Filix fragrans Farwell| Lastrea fragrans Presl.| Nephrodium fragrans var. remotiusculum Kom.| Polypodium fragrans L.| Polystichum fragrans Ledeb.| Thelypteris fragrans Nieuwl.| Woodsia xanthosporangia Ching;24.07.1965;Бурятия;Баргузинский;голец Бордан;Субальпйский пояс| роща кедрового стланика с березой Миддендорфа;Рещиков М.А.;Рещиков М.А.;;
;;;;;Dryopteris fragrans (L.) Schott;Шитовник пахучий;Aspidium fragrans Sw.| Dryopteris fragrans var. remotiuscula (Kom.) Fomin Filix fragrans Farwell| Lastrea fragrans Presl.| Nephrodium fragrans var. remotiusculum Kom.| Polypodium fragrans L.| Polystichum fragrans Ledeb.| Thelypteris fragrans Nieuwl.| Woodsia xanthosporangia Ching;02.07.1965;Бурятия;Баргузинский;окрестности пос. Нестеринга. 2-я озерная терраса;Каменистая степь с полынью Гмелина;Рещиков М.А.;Рещиков М.А.;;
;;;;;Dryopteris fragrans (L.) Schott;Шитовник пахучий;Aspidium fragrans Sw.| Dryopteris fragrans var. remotiuscula (Kom.) Fomin Filix fragrans Farwell| Lastrea fragrans Presl.| Nephrodium fragrans var. remotiusculum Kom.| Polypodium fragrans L.| Polystichum fragrans Ledeb.| Thelypteris fragrans Nieuwl.| Woodsia xanthosporangia Ching;27.07.1964;Бурятия;Прибайкальский;  окр. поселка Турка;На скалах мыса оз. Байкал;Рещиков М.А.;Рещиков М.А.;;
;;;;;Dryopteris fragrans (L.) Schott;Шитовник пахучий;Aspidium fragrans Sw.| Dryopteris fragrans var. remotiuscula (Kom.) Fomin Filix fragrans Farwell| Lastrea fragrans Presl.| Nephrodium fragrans var. remotiusculum Kom.| Polypodium fragrans L.| Polystichum fragrans Ledeb.| Thelypteris fragrans Nieuwl.| Woodsia xanthosporangia Ching;10.07.2009;Бурятия;Окинский;  ур. Булаг-Шэбэй;Трещины на базальтовой лаве;Лыгденова А.Б.;Холбоева С.А.;;
;;;;;Dryopteris fragrans (L.) Schott;Шитовник пахучий;Aspidium fragrans Sw.| Dryopteris fragrans var. remotiuscula (Kom.) Fomin Filix fragrans Farwell| Lastrea fragrans Presl.| Nephrodium fragrans var. remotiusculum Kom.| Polypodium fragrans L.| Polystichum fragrans Ledeb.| Thelypteris fragrans Nieuwl.| Woodsia xanthosporangia Ching;08.07.2003;Бурятия;Баунтовский; правый берег р. Амалат;Курумник| западный склон| 45град уклона;Иметхенова О.В.;Иметхенова О.В.| Чимитов Д.Г.;опис. №3;
;;;;;Dryopteris fragrans (L.) Schott;Шитовник пахучий;Aspidium fragrans Sw.| Dryopteris fragrans var. remotiuscula (Kom.) Fomin Filix fragrans Farwell| Lastrea fragrans Presl.| Nephrodium fragrans var. remotiusculum Kom.| Polypodium fragrans L.| Polystichum fragrans Ledeb.| Thelypteris fragrans Nieuwl.| Woodsia xanthosporangia Ching;24.06.1998;Бурятия;Окинский; окр. поселка Самарта| долина р. Бургалтай-Жалга;Мохово-лишайниково-травяное лиственничное редколесье;Клочихин Н.| Кутырев И.;Клочихин Н.| Кутырев И.;;
;;;;;Dryopteris fragrans (L.) Schott;Шитовник пахучий;Aspidium fragrans Sw.| Dryopteris fragrans var. remotiuscula (Kom.) Fomin Filix fragrans Farwell| Lastrea fragrans Presl.| Nephrodium fragrans var. remotiusculum Kom.| Polypodium fragrans L.| Polystichum fragrans Ledeb.| Thelypteris fragrans Nieuwl.| Woodsia xanthosporangia Ching;22.06.2005;Бурятия;Тарбагатайский;местность Тугнуйские столбы (Шара Тэбсэг);На останцах;Иметхенова О.В.| Чимитов Д.Г.;Иметхенова О.В.| Чимитов Д.Г.;;
;;;;;Dryopteris fragrans (L.) Schott;Шитовник пахучий;Aspidium fragrans Sw.| Dryopteris fragrans var. remotiuscula (Kom.) Fomin Filix fragrans Farwell| Lastrea fragrans Presl.| Nephrodium fragrans var. remotiusculum Kom.| Polypodium fragrans L.| Polystichum fragrans Ledeb.| Thelypteris fragrans Nieuwl.| Woodsia xanthosporangia Ching;05.07.2007;Бурятия; Курумканский;окр. села  Курумкан| в 3 км к востоку. Отроги хр. Баргузинский;Каменистый склон;Иметхенова О.В.| Чимитов Д.Г.;Иметхенова О.В.| Чимитов Д.Г.;;
;;1;Thelipteridaceae;;;;;;;;;;;;; 
;;1;Aspleniaceae;Camptosorus;Camptosorus sibiricus Rupr.;Кривокучник сибирский;Asplenium ruprechtii Sa. Kurata;23.06.2005;Бурятия;Тарбагатайский;местность Тугнуйские столбы (Шара Тэбсэг);В трещинах сиенитового останца к юго-западу от абрикосников;Иметхенова О.В.| Чимитов Д.Г.;Иметхенова О.В.| Чимитов Д.Г.;;
;;;;Asplenium;Asplenium ruta-muraria L.;Костенец постенный;;25.07.1965;Бурятия;Прибайкальский;с. Кома;Скала;Степаненко| Шубанова| Ринчинова;Рещиков М.А.;;
;;1;Cryptogrammaceae;;;;;;;;;;;;;
;;1;Sinopteridaceae;Cheilanthes;Cheilanthes argentea (S.G.Gmel.) G. Kunze;Краекучник серебристый;Aleuritopteris argentea (Balb.) Tod ;23.06.2005;Бурятия;Тарбагатайский; местность Тугнуйские столбы (Шара-Тэбсэг);Расщелины скал;Иметхенова О.В.| Чимитов Д.Г.;Иметхенова О.В.| Чимитов Д.Г.;;
;;1;Sinopteridaceae ;;Cheilanthes argentea (S.G.Gmelin) G. Kunze;Краекучник серебристый;Aleuretopteris (S.G. Gmelin) Fee;13.07.2009;Бурятия ;Окинский;местность Саилаг;каменистый склон;Лыгденова А.;Холбоева С.А.;;
;;;;;Cheilanthes argentea (S.G.Gmel.) G. Kunze;Краекучник серебристый;Aleuritopteris argentea (Balb.) Tod ;29.06.2005;Бурятия;Тарбагатайский;местность Жарчиха| 500м. к востоку от геологического лагеря;В расщелинах скал;Иметхенова О.В.;Чимитов Д.Г.;;
;;;;;Cheilanthes argentea (S.G.Gmel.) G. Kunze;Краекучник серебристый;Aleuritopteris argentea (Balb.) Tod ;19.06.2005;Бурятия;Тарбагатайский; местность Жарчиха| 500м. к востоку от геологического лагеря;В расщелинах скал;Иметхенова О.В.| Чимитов Д.Г.;Иметхенова О.В.| Чимитов Д.Г.;;
;;1;Hylolepidaceae;;;;;;;;;;;;;
;;1;Polypodiaceae;Polypodium;Polypodium vulgare L.;Многоножка обыкновенная;Polypodium sibiricum Siplivinsky;16.07.1964;Бурятия;Прибайкальский;56 км. Тракта Улан-Удэ - Кабанск;В расщелинах скал;Дамбаев;Рещиков М.А.;;
;;;;;Polypodium vulgare L.;Многоножка обыкновенная;Polypodium sibiricum Siplivinsky;23.06.2005;Бурятия;Тарбагатайский;местность Тугнуйские столбы (Шара Тэбсэг);На останцах;Иметхенова О.В.| Чимитов Д.Г.;Иметхенова О.В.| Чимитов Д.Г.;;
отдел Lycopodiophyta;класс  Lycopodiopsida;1;Lycopodiaceae;Diphasiastrum ;Diphasiastrum alpinum (L.) Holub;Двурядник альпийский;Diphasium alpinum (L.) Rothm.| Lycopodium alpinum L.;26.05.1963;Бурятия;Прибайкальский;С.Турунтаево;Темнохвойный лес;Нечаева;Цыбикова;;
;;;;;Diphasiastrum alpinum (L.) Holub;Двурядник альпийский;Diphasium alpinum (L.) Rothm.| Lycopodium alpinum L.;13.07.1963;Бурятия;Прибайкальский;С. Турунтаево;Хвойный лес;Башаева;Куваев В.;;
;;;;;Diphasiastrum complanatum (L.) Holub;Двурядник сплюснутый;Diphasium anceps (Wallr.) A. Love & D. Love| Diphasium complanatum (L.) Rothm.| Diphasium complanatum ssp. anceps (Wallr.) Dostal| Diphasium wallrothii H.P. Fuchs| Lycopodium anceps Wallr.| Lycopodium complanatum L.| Lycopodium complanatum ssp. anceps (Wallr.) Asch. & Graebn.;01.09.2005;Бурятия;Заиграевский;Северный макросклон хр. Цаган-Дабан| местн. Хара-Байса;Смешанный лес;Иметхенова О.В.| Чимитов Д.Г.;Иметхенова О.В.| Чимитов Д.Г.;;
;;;;Lycopodium;Lycopodium annotinum L.;Плаун годичный;Spinulum annotinum (L.) A. Haines;01.09.2005;Бурятия;Заиграевский ;Северный макросклон хр. Цаган-Дабан| местн. Хара-Байса;Смешанный лес;Иметхенова О.В.| Чимитов Д.Г.;Иметхенова О.В.| Чимитов Д.Г.;;
;;;;;Lycopodium annotinum L.;Плаун годичный;Spinulum annotinum (L.) A. Haines;01.09.2005;Бурятия;Заиграевский ;Северный макросклон хр. Цаган-Дабан| местн. Хара-Байса;Смешанный лес;Иметхенова О.В.| Чимитов Д.Г.;Иметхенова О.В.| Чимитов Д.Г.;;
;;;;;Lycopodium annotinum L.;Плаун годичный;Spinulum annotinum (L.) A. Haines;10.06.1963;Бурятия;Прибайкальский;Перевал Турунтаево;Темнохвойный лес;Пурбуева| Далаева| Раднаева;Куваев В.;;
;;;;;Lycopodium annotinum L.;Плаун годичный;Spinulum annotinum (L.) A. Haines;05.07.1968;Бурятия;Прибайкальский;Баргузинский тракт| 24 км.;Темнохвойный лес;Эйдельман;Эйдельман;;
;;;;;Lycopodium annotinum L.;Плаун годичный;Spinulum annotinum (L.) A. Haines;10.06.1963;Бурятия;Прибайкальский;С. Турунтаево| перевал;Темнохвойный лес;Раднаева| Пурбуева;Куваев В.;;
;;;;;Lycopodium annotinum L.;Плаун годичный;Spinulum annotinum (L.) A. Haines;10.06.1963;Бурятия;Прибайкальский;С. Турунтаево| перевал;Темнохвойный лес;Раднаева| Пурбуева;Куваев В.;;
;;;;;Lycopodium annotinum L.;Плаун годичный;Spinulum annotinum (L.) A. Haines;10.06.1963;Бурятия;Прибайкальский;С. Турунтаево| перевал;Темнохвойный лес;Раднаева| Пурбуева;Куваев В.;;
;;;;;Lycopodium annotinum L.;Плаун годичный;Spinulum annotinum (L.) A. Haines;10.06.1963;Бурятия;Прибайкальский;С. Турунтаево| перевал;Темнохвойный лес;Раднаева| Пурбуева;Куваев В.;;
